Species,Official gene symbol,Product type,Product description,UI
Mus musculus,MT-CO3,protein-coding gene,mitochondrially encoded cytochrome c oxidase III,0.468
Mus musculus,VAPA,protein-coding gene,VAMP associated protein A,0.468
Mus musculus,GDI2,protein-coding gene,GDP dissociation inhibitor 2,0.467
Mus musculus,SNRPE,protein-coding gene,small nuclear ribonucleoprotein polypeptide E,0.467
Mus musculus,GNG5,protein-coding gene,G protein subunit gamma 5,0.466
Mus musculus,PRDX5,protein-coding gene,peroxiredoxin 5,0.466
Mus musculus,RPS11-PS1,,,0.466
Mus musculus,RPL14-PS1,,,0.465
Mus musculus,MDH1,protein-coding gene,malate dehydrogenase 1,0.464
Mus musculus,PSMB2,protein-coding gene,proteasome subunit beta 2,0.464
Mus musculus,RAB14,protein-coding gene,"RAB14, member RAS oncogene family",0.464
Mus musculus,CANX,protein-coding gene,calnexin,0.462
Mus musculus,EIF3E,protein-coding gene,eukaryotic translation initiation factor 3 subunit E,0.46
Mus musculus,HNRNPC,protein-coding gene,heterogeneous nuclear ribonucleoprotein C (C1/C2),0.459
Mus musculus,NDUFS6,protein-coding gene,NADH:ubiquinone oxidoreductase subunit S6,0.459
Mus musculus,RP24-351I17.2,,,0.459
Mus musculus,RTN3,protein-coding gene,reticulon 3,0.459
Mus musculus,TOP1,protein-coding gene,DNA topoisomerase I,0.459
Mus musculus,LDHA,protein-coding gene,lactate dehydrogenase A,0.457
Mus musculus,RPL10A-PS1,,,0.456
Mus musculus,TMEM258,protein-coding gene,transmembrane protein 258,0.456
Mus musculus,BRK1,protein-coding gene,"BRICK1, SCAR/WAVE actin nucleating complex subunit",0.455
Mus musculus,RTN4,protein-coding gene,reticulon 4,0.455
Mus musculus,TCEAL9,protein-coding gene,transcription elongation factor A like 9,0.451
Mus musculus,TPM3,protein-coding gene,tropomyosin 3,0.449
Mus musculus,RP23-55L3.5,,,0.448
Mus musculus,SNX3,protein-coding gene,sorting nexin 3,0.448
Mus musculus,ARPP19,protein-coding gene,cAMP regulated phosphoprotein 19,0.447
Mus musculus,HN1,,,0.446
Mus musculus,PNISR,protein-coding gene,PNN interacting serine and arginine rich protein,0.442
Mus musculus,NDUFS5,protein-coding gene,NADH:ubiquinone oxidoreductase subunit S5,0.44
Mus musculus,SDHB,protein-coding gene,succinate dehydrogenase complex iron sulfur subunit B,0.44
Mus musculus,TSC22D1,protein-coding gene,TSC22 domain family member 1,0.44
Mus musculus,ARF4,protein-coding gene,ADP ribosylation factor 4,0.438
Mus musculus,PTMS,protein-coding gene,parathymosin,0.438
Mus musculus,TMEM256,protein-coding gene,transmembrane protein 256,0.438
Mus musculus,VDAC2,protein-coding gene,voltage dependent anion channel 2,0.438
Mus musculus,RPS16-PS2,,,0.436
